parameter_name,long_name,classification,classification_confidence,classification_reasoning,value_type,value_details,defined_by_extensions,defined_by_summary,has_requirements,num_csr_references,csr_names,spec_file,spec_line,spec_score,spec_is_normative,spec_in_note,spec_text,description
REPORT_VA_IN_MTVAL_ON_STORE_AMO_ACCESS_FAULT,Whether or not `mtval` is written with the virtual address of a store or AMO causing an access fault,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","Options:

  * true:  `mtval` is written with the virtual address of a store or AMO causing the access fault
  * false: `mtval` is written with 0 when a store or AMO causes an access fault"
REPORT_VA_IN_MTVAL_ON_STORE_AMO_MISALIGNED,Whether or not `mtval` is written with the virtual address of a misaligned store or AMO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","Options:

  * true:  `mtval` is written with the virtual address of a trapping misaligned store or AMO.
  * false: `mtval` is written with 0 when a misaligned store or AMO traps."
REPORT_VA_IN_MTVAL_ON_STORE_AMO_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,25,10,True,False,"registers. [#norm:H_mtval_nrz]#CSR `mtval` must not be read-only zero#, and","When true, `mtval` is written with the virtual address of a store when it causes a
`StoreAmoPageFault`.

WHen false, `mtval` is written with 0 when a store causes a `StoreAmoPageFault`."
REPORT_VA_IN_STVAL_ON_BREAKPOINT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,726,17,False,False,"On a breakpoint exception raised by an EBREAK or C.EBREAK instruction, `stval`","When true, `stval` is written with the virtual PC of the EBREAK instruction (same information as `mepc`).

When false, `stval` is written with 0 on an EBREAK instruction.

Regardless, `stval` is always written with a virtual PC when an external breakpoint is generated"
REPORT_VA_IN_STVAL_ON_INSTRUCTION_ACCESS_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,936,10,False,False,the instruction as indicated by the virtual address in `stval`.,"When true, `stval` is written with the virtual PC of an instructino when fetch causes an
`InstructionAccessFault`.

WHen false, `stval` is written with 0 when an instruction fetch causes an
`InstructionAccessFault`."
REPORT_VA_IN_STVAL_ON_INSTRUCTION_MISALIGNED,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,726,13,False,False,"On a breakpoint exception raised by an EBREAK or C.EBREAK instruction, `stval`","When true, `stval` is written with the virtual PC when an instruction fetch is misaligned.

When false, `stval` is written with 0 when an instruction fetch is misaligned.

Note that when IALIGN=16 (i.e., when the `C` or one of the `Zc*` extensions are implemented),
it is impossible to generate a mis"
REPORT_VA_IN_STVAL_ON_INSTRUCTION_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,936,10,False,False,the instruction as indicated by the virtual address in `stval`.,"When true, `stval` is written with the virtual PC of an instructino when fetch causes an
`InstructionPageFault`.

WHen false, `stval` is written with 0 when an instruction fetch causes an
`InstructionPageFault`."
REPORT_VA_IN_STVAL_ON_LOAD_ACCESS_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,707,9,True,False,[[norm:stval]],"When true, `stval` is written with the virtual address of a load when it causes a
`LoadAccessFault`.

WHen false, `stval` is written with 0 when a load causes a `LoadAccessFault`."
REPORT_VA_IN_STVAL_ON_LOAD_MISALIGNED,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,734,11,False,False,If `stval` is written with a nonzero value when a misaligned load or,"When true, `stval` is written with the virtual address of a load instruction when the
address is misaligned and MISALIGNED_LDST is false.

When false, `stval` is written with 0 when a load address is misaligned and
MISALIGNED_LDST is false."
REPORT_VA_IN_STVAL_ON_LOAD_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,2046,9,False,False,"modes. On a guest-page fault, CSR `mtval` or `stval` is written with the","When true, `stval` is written with the virtual address of a load when it causes a
`LoadPageFault`.

WHen false, `stval` is written with 0 when a load causes a `LoadPageFault`."
REPORT_VA_IN_STVAL_ON_STORE_AMO_ACCESS_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,707,9,True,False,[[norm:stval]],"When true, `stval` is written with the virtual address of a store when it causes a
`StoreAmoAccessFault`.

WHen false, `stval` is written with 0 when a store causes a `StoreAmoAccessFault`."
REPORT_VA_IN_STVAL_ON_STORE_AMO_MISALIGNED,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,supervisor.adoc,734,10,False,False,If `stval` is written with a nonzero value when a misaligned load or,"When true, `stval` is written with the virtual address of a store instruction when the
address is misaligned and MISALIGNED_LDST is false.

When false, `stval` is written with 0 when a store address is misaligned and
MISALIGNED_LDST is false."
REPORT_VA_IN_STVAL_ON_STORE_AMO_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",S,ext:S,False,0,,hypervisor.adoc,2046,9,False,False,"modes. On a guest-page fault, CSR `mtval` or `stval` is written with the","When true, `stval` is written with the virtual address of a store when it causes a
`StoreAmoPageFault`.

WHen false, `stval` is written with 0 when a store causes a `StoreAmoPageFault`."
REPORT_VA_IN_VSTVAL_ON_BREAKPOINT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,10,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the virtual PC of the EBREAK instruction (same information as `mepc`).

When false, `vstval` is written with 0 on an EBREAK instruction.

Regardless, `vstval` is always written with a virtual PC when an external breakpoint is generated."
REPORT_VA_IN_VSTVAL_ON_INSTRUCTION_ACCESS_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,zc.adoc,1183,9,True,False,"[#norm:Zcmp_trap]#If a trap occurs during the sequence then _xEPC_ is updated with the PC of the instruction, _xTVAL_ (if not read-only-zero) updated with the bad address if it was an access fault and","When true, `vstval` is written with the virtual PC of an instructino when fetch causes an
`InstructionAccessFault`.

WHen false, `vstval` is written with 0 when an instruction fetch causes an
`InstructionAccessFault`."
REPORT_VA_IN_VSTVAL_ON_INSTRUCTION_MISALIGNED,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,c-st-ext.adoc,310,8,True,False,[#norm:c-ldsp_op]#C.LDSP is an RV64C-only instruction that loads a 64-bit value,"When true, `vstval` is written with the virtual PC when an instruction fetch is misaligned.

When false, `vstval` is written with 0 when an instruction fetch is misaligned.

Note that when IALIGN=16 (i.e., when the `C` or one of the `Zc*` extensions are implemented),
it is impossible to generate a m"
REPORT_VA_IN_VSTVAL_ON_INSTRUCTION_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,zc.adoc,1183,8,True,False,"[#norm:Zcmp_trap]#If a trap occurs during the sequence then _xEPC_ is updated with the PC of the instruction, _xTVAL_ (if not read-only-zero) updated with the bad address if it was an access fault and","When true, `vstval` is written with the virtual PC of an instructino when fetch causes an
`InstructionPageFault`.

WHen false, `vstval` is written with 0 when an instruction fetch causes an
`InstructionPageFault`."
REPORT_VA_IN_VSTVAL_ON_LOAD_ACCESS_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1371,8,False,False,"actually access `vstval` instead. When V=0, `vstval` does not directly","When true, `vstval` is written with the virtual address of a load when it causes a
`LoadAccessFault`.

WHen false, `vstval` is written with 0 when a load causes a `LoadAccessFault`."
REPORT_VA_IN_VSTVAL_ON_LOAD_MISALIGNED,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the virtual address of a load instruction when the
address is misaligned and MISALIGNED_LDST is false.

When false, `vstval` is written with 0 when a load address is misaligned and
MISALIGNED_LDST is false."
REPORT_VA_IN_VSTVAL_ON_LOAD_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the virtual address of a load when it causes a
`LoadPageFault`.

WHen false, `vstval` is written with 0 when a load causes a `LoadPageFault`."
REPORT_VA_IN_VSTVAL_ON_STORE_AMO_ACCESS_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1371,8,False,False,"actually access `vstval` instead. When V=0, `vstval` does not directly","When true, `vstval` is written with the virtual address of a store when it causes a
`StoreAmoAccessFault`.

WHen false, `vstval` is written with 0 when a store causes a `StoreAmoAccessFault`."
REPORT_VA_IN_VSTVAL_ON_STORE_AMO_MISALIGNED,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the virtual address of a store instruction when the
address is misaligned and MISALIGNED_LDST is false.

When false, `vstval` is written with 0 when a store address is misaligned and
MISALIGNED_LDST is false."
REPORT_VA_IN_VSTVAL_ON_STORE_AMO_PAGE_FAULT,TODO,NORM_DIRECT,high,Trap/report behavior parameter (matches ^REPORT_),binary,"choices: [True, False]",H,ext:H,False,0,,hypervisor.adoc,1364,7,False,False,==== Virtual Supervisor Trap Value (`vstval`) Register,"When true, `vstval` is written with the virtual address of a store when it causes a
`StoreAmoPageFault`.

WHen false, `vstval` is written with 0 when a store causes a `StoreAmoPageFault`."
RVV_VL_WHEN_AVL_LT_DOUBLE_VLMAX,TODO,NORM_DIRECT,low,No strong signals; defaulting to direct normative parameter,enum,"values: ['ceil(AVL/2)', 'VLMAX', 'custom']",V,ext:V,False,0,,v-st-ext.adoc,1279,9,True,False,"[#norm:vsetvl_op_rs1_x0_rd_x0]#When _rs1_=`x0` and _rd_=`x0`, the instructions operate as if the current vector length in `vl` is used as the AVL, and the resulting value is written to `vl`, but not t",The value assigned to VL when AVL < 2*VLMAX.
SATP_MODE_BARE,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of satp.MODE,binary,"choices: [True, False]",S,ext:S,False,1,satp,machine.adoc,670,11,True,False,[#norm:mstatus_sum_rdonly0]#SUM is read-only 0 if S-mode is not supported or if `satp`.MODE is read-only 0.#,Whether or not satp.MODE == Bare is supported.
SCOUNTENABLE_EN,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of scounteren.CY,bitmask,32-bit mask,"S, Zicntr, Zihpm",ext:S AND (ext:Zicntr OR ext:Zihpm),True,64,scounteren,supervisor.adoc,511,12,False,False,"When the CY, TM, IR, or HPM__n__ bit in the `scounteren` register is","Indicates which counters can delegated via `scounteren`

An unimplemented counter cannot be specified, i.e., if
HPM_COUNTER_EN[3] is false, it would be illegal to set
SCOUNTENABLE_EN[3] to true.

SCOUNTENABLE_EN[0:2] must all be false if `Zicntr` is not implemented.
SCOUNTENABLE_EN[3:31] must all be"
SSTATEEN_JVT_TYPE,TODO,NORM_CSR_RW,low,CSR field type control parameter for 'sstateen' (determines RO/RW behavior),enum,"values: ['rw', 'read-only-0', 'read-only-1']","Ssstateen, Zcmt",ext:Zcmt AND ext:Ssstateen,True,0,,zc.adoc,2341,4,True,False,"[#norm:Zcmt_entry_sz]#The base of the table is in the jvt CSR (see <<csrs-jvt>>), each table entry is XLEN bits.#","Behavior of the sstateen0.JVT bit:

  * 'rw': read-write
  * 'read-only-0': read-only, fixed to 0
  * 'read-only-1': read-only, fixed to 1"
STVAL_WIDTH,TODO,NORM_DIRECT,medium,Trap value reporting parameter,range,[None..18446744073709551615],S,ext:S,False,0,,supervisor.adoc,707,6,True,False,[[norm:stval]],"The number of implemented bits in `stval`.

Must be greater than or equal to _max_(`PHYS_ADDR_WIDTH`, `VA_SIZE`)"
STVEC_MODE_DIRECT,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of stvec.MODE,binary,"choices: [True, False]",S,ext:S,True,1,stvec,hypervisor.adoc,1304,8,False,False,"VS-mode’s version of supervisor register `stvec`, formatted as shown in",Whether or not `stvec.MODE` supports Direct (0).
STVEC_MODE_VECTORED,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of stvec.MODE,binary,"choices: [True, False]",S,ext:S,True,1,stvec,machine.adoc,1256,9,True,False,"[#norm:mtvec_mode_vectored_op]#When MODE=Vectored, all synchronous exceptions into machine mode cause",Whether or not `stvec.MODE` supports Vectored (1).
SV32X4_TRANSLATION,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hgatp.MODE,binary,"choices: [True, False]",H,ext:H AND param:SXLEN(includes=32),True,3,hgatp,hypervisor.adoc,1915,9,False,False,"When `hgatp`.MODE specifies a translation scheme of Sv32x4, Sv39x4,",Whether or not Sv32x4 translation mode is supported.
SV32_VSMODE_TRANSLATION,TODO,NORM_DIRECT,medium,Translation/mode parameter,binary,"choices: [True, False]",H,ext:H AND param:VSXLEN(includes=32),True,0,,cmo.adoc,365,5,True,False,"otherwise.# [#norm:cbm_unperm_translate]#During address translation, the instruction also checks the accessed","Whether or not Sv32 translation is supported in first-stage (VS-stage)
translation."
SV39X4_TRANSLATION,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hgatp.MODE,binary,"choices: [True, False]",H,ext:H AND param:SXLEN(includes=64),True,3,hgatp,hypervisor.adoc,1007,9,False,False,".Hypervisor guest address translation and protection register `hgatp` when HSXLEN=64 for MODE values Bare, Sv39x4, Sv48x4, and Sv57x4.",Whether or not Sv39x4 translation mode is supported.
SV39_VSMODE_TRANSLATION,TODO,NORM_DIRECT,medium,Translation/mode parameter,binary,"choices: [True, False]",H,ext:H AND param:VSXLEN(includes=64),True,0,,cmo.adoc,365,5,True,False,"otherwise.# [#norm:cbm_unperm_translate]#During address translation, the instruction also checks the accessed","Whether or not Sv39 translation is supported in first-stage (VS-stage)
translation."
SV48X4_TRANSLATION,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hgatp.MODE,binary,"choices: [True, False]",H,ext:H AND param:SXLEN(includes=64),True,3,hgatp,hypervisor.adoc,1007,9,False,False,".Hypervisor guest address translation and protection register `hgatp` when HSXLEN=64 for MODE values Bare, Sv39x4, Sv48x4, and Sv57x4.",Whether or not Sv48x4 translation mode is supported.
SV48_VSMODE_TRANSLATION,TODO,NORM_DIRECT,medium,Translation/mode parameter,binary,"choices: [True, False]",H,ext:H AND param:VSXLEN(includes=64),True,0,,cmo.adoc,365,5,True,False,"otherwise.# [#norm:cbm_unperm_translate]#During address translation, the instruction also checks the accessed","Whether or not Sv48 translation is supported in first-stage (VS-stage)
translation."
SV57X4_TRANSLATION,TODO,NORM_CSR_WARL,high,Referenced in sw_write() of hgatp.MODE,binary,"choices: [True, False]",H,ext:H AND param:SXLEN(includes=64),True,3,hgatp,hypervisor.adoc,1007,9,False,False,".Hypervisor guest address translation and protection register `hgatp` when HSXLEN=64 for MODE values Bare, Sv39x4, Sv48x4, and Sv57x4.",Whether or not Sv57x4 translation mode is supported.
SV57_VSMODE_TRANSLATION,TODO,NORM_DIRECT,medium,Translation/mode parameter,binary,"choices: [True, False]",H,ext:H AND param:VSXLEN(includes=64),True,0,,cmo.adoc,365,5,True,False,"otherwise.# [#norm:cbm_unperm_translate]#During address translation, the instruction also checks the accessed","Whether or not Sv57 translation is supported in first-stage (VS-stage)
translation."
SXLEN,TODO,NORM_DIRECT,high,Well-known architectural parameter 'SXLEN',set,"subset of [32, 64]",S,ext:S,True,3,"hstatus, mstatus",machine.adoc,575,11,False,False,"When MXLEN=32, the SXL and UXL fields do not exist, and SXLEN=32 and UXLEN=32.","Set of XLENs supported in S-mode. Can be one of:

  * 32:   SXLEN is always 32
  * 64:   SXLEN is always 64
  * [32, 64]: SXLEN can be changed (via mstatus.SXL) between 32 and 64"
S_MODE_ENDIANNESS,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of mstatus.SBE,enum,"values: ['little', 'big', 'dynamic']",S,ext:S,False,4,"mstatus, mstatush",machine.adoc,679,22,True,False,"[#norm:mstatus_mstatush_xbe_warl]#The MBE, SBE, and UBE bits in `mstatus` and `mstatush` are *WARL* fields# that","Endianness of data in S-mode. Can be one of:

 * little:  S-mode data is always little endian
 * big:     S-mode data is always big endian
 * dynamic: S-mode data can be either little or big endian,
            depending on the CSR field `mstatus.SBE`"
TIME_CSR_IMPLEMENTED,TODO,NORM_DIRECT,high,Feature/CSR existence parameter ('IMPLEMENTED' suffix),binary,"choices: [True, False]",Zicntr,ext:Zicntr,False,2,"time, timeh",machine.adoc,2621,25,False,False,"When `mtime` changes, it is guaranteed to be reflected in `time` and `timeh`","Whether or not a real hardware `time` CSR exists. Implementations can either provide a real
CSR or emulate access at M-mode.

Possible values:

true::
  `time`/`timeh` exists, and accessing it will not cause an IllegalInstruction trap

false::
  `time`/`timeh` does not exist.
  Accessing the CSR wil"
TINST_VALUE_ON_BREAKPOINT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a Breakpoint exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TINST_VALUE_ON_FINAL_INSTRUCTION_GUEST_PAGE_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'always pseudoinstruction']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,2567,9,False,False,==== Transformed Instruction or Pseudoinstruction for `mtinst` or `htinst`,"Value to write into htval/mtval2 when there is a guest page fault on a final translation.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always pseudoinstruction"": Always write the pseudoinstruction"
TINST_VALUE_ON_FINAL_LOAD_GUEST_PAGE_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always pseudoinstruction', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value to write into htval/mtval2 when there is a guest page fault on a final translation.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always pseudoinstruction"": Always write the pseudoinstruction
  * ""always transformed standard instruction"": Always write the transformation"
TINST_VALUE_ON_FINAL_STORE_AMO_GUEST_PAGE_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always pseudoinstruction', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value to write into htval/mtval2 when there is a guest page fault on a final translation.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always pseudoinstruction"": Always write the pseudoinstruction
  * ""always transformed standard instruction"": Always write the transformation"
TINST_VALUE_ON_INSTRUCTION_ADDRESS_MISALIGNED,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,2567,9,False,False,==== Transformed Instruction or Pseudoinstruction for `mtinst` or `htinst`,"Value written into htinst/mtinst when there is an instruction address misaligned exception.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TINST_VALUE_ON_LOAD_ACCESS_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on an AccessFault exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always transformed standard instruction"": Always write a transformed standard instruction as defined by H
  * ""custom"": Write a custom value, which resu"
TINST_VALUE_ON_LOAD_ADDRESS_MISALIGNED,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a VirtualInstruction exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always transformed standard instruction"": Always write a transformed standard instruction as defined by H
  * ""custom"": Write a custom value, whic"
TINST_VALUE_ON_LOAD_PAGE_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a LoadPageFault exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always transformed standard instruction"": Always write a transformed standard instruction as defined by H
  * ""custom"": Write a custom value, which res"
TINST_VALUE_ON_MCALL,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a MCall exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TINST_VALUE_ON_SCALL,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a SCall exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TINST_VALUE_ON_STORE_AMO_ACCESS_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on an AccessFault exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always transformed standard instruction"": Always write a transformed standard instruction as defined by H
  * ""custom"": Write a custom value, which resu"
TINST_VALUE_ON_STORE_AMO_ADDRESS_MISALIGNED,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a VirtualInstruction exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always transformed standard instruction"": Always write a transformed standard instruction as defined by H
  * ""custom"": Write a custom value, whic"
TINST_VALUE_ON_STORE_AMO_PAGE_FAULT,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,enum,"values: ['always zero', 'always transformed standard instruction', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a StoreAmoPageFault exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""always transformed standard instruction"": Always write a transformed standard instruction as defined by H
  * ""custom"": Write a custom value, which"
TINST_VALUE_ON_UCALL,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a UCall exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TINST_VALUE_ON_VIRTUAL_INSTRUCTION,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",smctr.adoc,218,10,True,False,"[#norm:sctrdepth_mode]#Attempts to access `sctrdepth` from VS-mode or VU-mode raise a virtual-instruction exception, unless CTR state enable access restrictions apply.#  See <<State Enable Access Cont","Value written into htinst/mtinst on a VirtualInstruction exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TINST_VALUE_ON_VSCALL,TODO,NORM_CSR_RW,high,Controls type (RO/RW) of htinst.VALUE,binary,"choices: ['always zero', 'custom']",H,ext:H,False,2,"htinst, mtinst",hypervisor.adoc,983,8,False,False,`htinst` is a *WARL* register that need only be able to hold the values that,"Value written into htinst/mtinst on a VSCall exception from VU/VS-mode.

Possible values:
  * ""always zero"": Always write the value zero
  * ""custom"": Write a custom value, which results in UNPREDICTABLE"
TRAP_ON_EBREAK,Whether or not an EBREAK causes a synchronous exception.,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,rv32.adoc,684,4,True,False,[#norm:ENDIANNESS_LITTLE_OR_BIG]#The EEI will define whether the memory system is little-endian or big-endian.#,"The spec states that implementations may handle EBREAKs transparently
without raising a trap, in which case the EEI must provide a builtin."
TRAP_ON_ECALL_FROM_M,Whether or not an ECALL-from-M-mode causes a synchronous exception.,NORM_DIRECT,high,Trap/report behavior parameter (matches ^TRAP_ON_),binary,"choices: [True, False]",Sm,ext:Sm,False,0,,rv32.adoc,684,4,True,False,[#norm:ENDIANNESS_LITTLE_OR_BIG]#The EEI will define whether the memory system is little-endian or big-endian.#,"The spec states that implementations may handle ECALLs transparently
without raising a trap, in which case the EEI must provide a builtin."
